# resistances 	 Q unloaded
3.52	48270564.00
69.57	4630770.50
48.29	6453914.00
3.28	56212596.00
52.54	6115535.00
12.56	66870760.00
5.57	79754832.00
43.99	44126040.00
7.48	63588400.00
17.93	18052478.00
9.06	52137668.00
41.25	29066436.00
10.89	119769688.00
10.11	99094616.00
8.62	163072160.00
40.49	23392774.00
