x, y
1.1400932200664602e-7, 36709573.791832715
1.3139014306768813e-7, 23138438.461371414
1.5187079140577498e-7, 14708151.257367538
1.7674578085663598e-7, 9372153.543237714
2.0144480345656756e-7, 6031746.166538765
2.3183864262221858e-7, 3821251.1494089104
2.6738326005818907e-7, 2430925.672715388
3.0614463818791643e-7, 1592984.510080707
3.530333873157795e-7, 1037548.1470160765
4.0909453880484733e-7, 679077.7460167328
4.691348446721172e-7, 443313.829012705
5.382990125589091e-7, 300015.9784593734
6.249516237624416e-7, 200423.71228181422
7.311690168574089e-7, 133537.506900499
8.254221765566448e-7, 93238.28109158478
9.570854956160965e-7, 64854.05881092971
0.0000010975885312878765, 44680.00259949341
0.0000012615552774940544, 31299.298481495054
0.0000014496704704996998, 22837.559090336486
0.000001677985661613347, 17022.815597201366
0.0000019287226754684084, 13038.55950660526
0.0000022096776831117552, 10327.157370307406
0.000002552198410643801, 8437.165671150568
0.000002933366592076023, 5580.9744632019
0.000003380906917200407, 4436.250085211178
0.00000390524559906305, 3650.6694043961656
0.000004493239573989175, 2843.053381822448
0.000005194693709219075, 2363.0007197950067
0.000005972756868610993, 2108.5795951191894
0.000006847472746220367, 1822.9370852868722
0.000007885993268540627, 1748.5327250838252
0.000009169193798376594, 1702.9398695990574
0.000010435562564555841, 1768.0463922632812
0.00001205399491232521, 1919.5169429595637
0.000013927702812689274, 2239.933300385807
0.000016034026530120815, 2085.008912904459
0.000018390379452091003, 2855.7025595432647
0.00002120124082278779, 4597.618819560312
0.00002435515720497002, 11064.360428358234
0.000028113165026128857, 127702.47470536992
